fault_number,n_windows,top1_acc,top3_acc
1,5,0.2000,0.2000
2,5,0.0000,0.0000
3,3,0.0000,0.0000
4,5,0.0000,0.0000
5,5,0.2000,0.2000
6,5,0.0000,0.0000
7,5,0.2000,0.4000
8,5,0.0000,0.0000
9,1,0.0000,0.0000
10,5,0.0000,0.2000
11,5,0.0000,0.0000
12,5,1.0000,1.0000
13,5,0.0000,0.0000
14,5,0.0000,0.0000
15,3,0.0000,0.0000
16,5,0.0000,0.0000
17,5,0.0000,0.0000
18,5,0.0000,0.2000
19,5,0.2000,0.2000
20,5,0.2000,0.2000
OVERALL,92,0.1087,0.1413
